DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017
220204	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3
220212	0/3	0/3	0/3	1/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3
220213	0/3	1/3	0/3	2/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3
220214	0/3	1/3	0/3	2/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	1/3	1/3
220216	0/3	1/3	0/3	2/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	0/3	2/3	1/3
220216	0/3	1/3	0/3	2/3	0/3	0/3	0/3	0/3	0/3	1/3	0/3	0/3	0/3	0/3	0/3	2/3	1/3
220218	0/3	1/3	0/3	2/3	0/3	0/3	0/3	0/3	0/3	1/3	0/3	0/3	1/3	0/3	0/3	2/3	1/3
220223	0/3	1/3	0/3	2/3	0/3	0/3	0/3	0/3	0/3	1/3	0/3	0/3	2/3	0/3	0/3	2/3	1/3
220225	0/3	1/3	1/3	2/3	0/3	0/3	0/3	0/3	0/3	1/3	0/3	0/3	2/3	0/3	0/3	2/3	1/3
220301	0/3	1/3	1/3	2/3	1/3	0/3	0/3	0/3	0/3	1/3	0/3	0/3	2/3	0/3	1/3	2/3	1/3
220302	0/3	1/3	1/3	2/3	1/3	0/3	0/3	0/3	0/3	1/3	0/3	0/3	2/3	0/3	2/3	2/3	1/3
220303	0/3	1/3	1/3	2/3	1/3	0/3	0/3	0/3	0/3	1/3	0/3	1/3	2/3	0/3	2/3	2/3	1/3
