DATE	A01	A02	A03	A04
220204	0/32	0/32	0/32	0/32
220215	1/32	1/32	1/32	0/32
220216	2/32	1/32	2/32	0/32
220216	3/32	1/32	2/32	1/32
220217	3/32	0/32	2/32	1/32
220218	5/32	1/32	2/32	1/32
220219	4/32	1/32	2/32	1/32
220221	8/32	3/32	3/32	3/32
220222	10/32	3/32	3/32	4/32
220223	20/32	3/32	10/32	7/32
220224	21/32	4/32	11/32	10/32
220225	26/32	4/32	12/32	10/32
220226	32/32	7/32	15/32	15/32
220301	32/32	14/32	15/32	15/32
220302	32/32	14/32	16/32	17/32
220303	32/32	14/32	16/32	18/32
220304	32/32	13/32	15/32	18/32
220310	32/32	14/32	15/32	18/32
220311	32/32	15/32	15/32	18/32
220312	31/32	16/32	15/32	17/32
220314	29/32	16/32	15/32	17/32
220317	29/32	15/32	16/32	17/32
220321	29/32	15/32	18/32	19/32
220323	30/32	16/32	18/32	19/32
220324	30/32	16/32	18/32	18/32
220328	32/32	20/32	16/32	18/32
220328	32/32 WL1	21/32	21/32	18/32
220330	32/32	21/32	27/32	19/32
220331	32/32	22/32	27/32	20/32
220404	32/32 WL1	21/32	27/32	17/32
220405	30/32 WL1	24/32	29/32	17/32
220406	28/32	21/32	32/32	17/32
220407	29/32	20/32	31/32	17/32
220408	31/32	18/32	28/32	20/32
