DATE	A01	A02	A03	A04
220204	0/24	0/24	0/24	0/24
220213	2/24	3/24	0/24	0/24
220215	6/24	4/24	0/24	0/24
220216	7/24	3/24	0/24	0/24
220216	8/24	5/24	0/24	0/24
220218	19/24	9/24	0/24	0/24
220221	20/24	9/24	0/24	0/24
220221	21/24	10/24	0/24	0/24
220222	21/24	11/24	0/24	0/24
220223	24/24	11/24	0/24	0/24
220224	24/24	12/24	0/24	0/24
220225	24/24 WL1	24/24	0/24	0/24
220226	24/24	24/24 WL1	0/24	0/24
220302	24/24 WL2	24/24 WL1	0/24	0/24
220303	24/24 WL1	24/24 WL1	0/24	0/24
220308	25/25	25/25	0/24	0/24
220312	25/25 WL1	25/25	N/A	N/A
220321	25/25	25/25	N/A	N/A
220328	25/25	25/25 WL1	N/A	N/A
