DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	B01	B02	B03	B04	B05	B06
220204	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40	0/40
220212	6/40	0/40	0/40	1/40	1/40	0/40	0/40	0/40	0/40	6/40	5/40	4/40	0/40	7/40	2/40
220213	9/40	0/40	0/40	1/40	2/40	2/40	1/40	1/40	1/40	12/40	13/40	4/40	1/40	15/40	2/40
220214	9/40	0/40	0/40	2/40	2/40	2/40	1/40	1/40	1/40	13/40	14/40	4/40	2/40	15/40	2/40
220215	11/40	2/40	3/40	2/40	3/40	3/40	2/40	3/40	3/40	29/40	25/40	8/40	3/40	22/40	3/40
220216	20/40	4/40	7/40	2/40	5/40	3/40	7/40	5/40	8/40	40/40	40/40	40/40	13/40	40/40	26/40
220216	40/40	40/40	40/40	31/40	32/40	23/40	20/40	25/40	20/40	40/40	40/40	40/40	40/40	40/40	40/40
220217	40/40	40/40	40/40	40/40	37/40	27/40	22/40	30/40	23/40	40/40	40/40	40/40	40/40	40/40	40/40
220218	40/40	40/40	40/40	40/40	40/40	40/40	28/40	38/40	27/40	40/40	40/40	40/40	40/40	40/40	40/40
220219	40/40	40/40	40/40	40/40	40/40	40/40	28/40	38/40	28/40	40/40	40/40	40/40	40/40	40/40	40/40
