DATE	A01	A02	A03
220204	0/60	0/60	0/60
220212	2/60	0/60	2/60
220213	12/60	0/60	2/60
220214	16/60	1/60	3/60
220215	30/60	7/60	6/60
220216	38/60	9/60	10/60
220216	41/60	10/60	13/60
220218	41/60	10/60	12/60
220221	41/60	10/60	13/60
220221	43/60	10/60	14/60
220222	43/60	11/60	17/60
220223	56/60	17/60	20/60
220224	59/60	19/60	23/60
220225	60/60	22/60	25/60
220227	60/60 WL1	22/60	26/60
220228	60/60 WL1	23/60	25/60
220301	60/60 WL1	22/60	24/60
220302	60/60 WL1	23/60	24/60
220304	60/60 WL1	23/60	25/60
220305	60/60 WL1	23/60	27/60
220310	60/60 WL1	23/60	28/60
220312	60/60 WL1	23/60	27/60
220314	60/60 WL1	23/60	28/60
220316	60/60 WL1	23/60	29/60
220317	60/60 WL1	23/60	30/60
220321	60/60 WL1	25/60	30/60
