DATE	A01	A02	A03	A04	A05	A06
220204	0/60	0/60	0/60	0/60	0/60	N/A
220212	0/60	0/60	0/60	1/60	4/60	N/A
220213	5/60	0/60	2/60	2/60	6/60	N/A
220214	5/60	0/60	2/60	1/60	7/60	N/A
220215	6/60	0/60	2/60	2/60	9/60	N/A
220216	7/60	1/60	3/60	3/60	11/60	N/A
220216	9/60	4/60	7/60	9/60	14/60	N/A
220217	10/60	4/60	9/60	9/60	15/60	N/A
220218	14/60	9/60	18/60	26/60	42/60	N/A
220219	13/60	9/60	18/60	26/60	43/60	N/A
220220	13/60	10/60	18/60	27/60	43/60	N/A
220221	15/60	11/60	20/60	29/60	51/60	N/A
220222	17/60	11/60	21/60	29/60	51/60	N/A
220223	22/60	14/60	25/60	35/60	55/60	N/A
220224	22/60	18/60	33/60	47/60	60/60	N/A
220225	49/60	60/60	59/60 WL3	59/60 WL3	58/60 WL2	N/A
220226	60/60 WL13	60/60 WL10	60/60 WL9	60/60 WL8	60/60 WL9	N/A
220227	60/60 WL14	60/60 WL10	60/60 WL11	60/60 WL10	60/60 WL10	N/A
220301	60/60 WL14	60/60 WL10	60/60 WL11	60/60 WL9	60/60 WL9	N/A
220302	60/60 WL14	60/60 WL10	60/60 WL11	60/60 WL10	60/60 WL9	N/A
220303	60/60 WL13	60/60 WL11	60/60 WL11	60/60 WL10	60/60 WL10	N/A
220306	60/60 WL13	60/60 WL10	60/60 WL11	60/60 WL10	60/60 WL10	N/A
220307	60/60 WL13	60/60 WL10	60/60 WL11	60/60 WL11	60/60 WL10	N/A
220309	60/60 WL12	60/60 WL9	60/60 WL11	60/60 WL11	60/60 WL10	N/A
220310	60/60 WL11	60/60 WL9	60/60 WL11	60/60 WL11	60/60 WL10	N/A
220311	60/60 WL10	60/60 WL8	60/60 WL11	60/60 WL10	60/60 WL10	N/A
220312	60/60 WL10	60/60 WL9	60/60 WL11	60/60 WL10	60/60 WL10	N/A
220314	60/60 WL10	60/60 WL8	60/60 WL10	60/60 WL9	60/60 WL9	N/A
220316	60/60 WL10	60/60 WL9	60/60 WL10	60/60 WL8	60/60 WL10	0/0
220317	60/60 WL9	59/60 WL9	60/60 WL10	60/60 WL8	60/60 WL10	0/0
220321	60/60 WL6	61/60 WL6	60/60 WL7	60/60 WL7	60/60 WL8	7/0
220323	60/60 WL6	61/60 WL6	60/60 WL6	60/60 WL6	60/60 WL8	12/0 WL1
