DATE	A01	B01	B02
220204	0/275	0/68	0/68
220212	1/275	3/68	0/68
220213	5/275	13/68	4/68
220214	8/275	17/68	4/68
220215	23/275	58/68	14/68
220216	78/275	68/68	68/68
220216	165/275	68/68	68/68
220217	176/275	68/68	68/68
220218	188/275	68/68	68/68
220219	187/275	68/68	68/68
220221	188/275	68/68	68/68
220222	189/275	68/68 WL2	68/68 WL1
220223	203/275	68/68 WL4	64/68 WL4
220224	216/275	68/68 WL11	68/68 WL6
220225	217/275	68/68 WL25	68/68 WL21
220226	219/275	68/68 WL26	68/68 WL21
220227	217/275	68/68 WL28	68/68 WL22
220301	217/275	75/68 WL23	68/98 WL23
220302	213/275	78/68 WL15	98/98 WL5
220303	213/275	78/68 WL16	98/98 WL4
220304	211/275	78/68 WL16	98/98 WL4
220305	211/275	78/68 WL16	98/98 WL3
220306	210/275	78/68 WL16	98/98 WL4
220308	209/395	95/98	98/98 WL3
220309	207/395	97/98	98/98 WL3
220310	207/395	98/98	98/98 WL2
220312	206/395	98/98 WL1	98/98 WL2
220316	204/395	98/98 WL3	98/98 WL2
220321	207/395	97/98 WL3	98/98 WL2
220323	213/395	97/98 WL3	98/98 WL2
220324	220/395	98/98 WL3	98/98 WL2
220328	229/395	98/98 WL3	98/98 WL4
220328	233/395	98/98 WL3	98/98 WL4
220330	240/395	96/98 WL2	98/98 WL3
220331	249/395	97/98 WL2	98/98 WL4
220404	250/395	98/98 WL2	97/98 WL2
220405	248/395	96/98 WL2	95/98 WL1
220406	247/395	98/98	98/98
220407	246/395	98/98	97/98
220408	243/395	98/98	97/98
220417	241/395	98/98	97/98
220417	50/50 WL63	N/A	N/A
220417	40/40 WL51	N/A	N/A
220823	189/189 WL9	N/A	N/A
