DATE	A01	A02	B01	B02	C01
220204	0/49	0/49	0/49	0/49	0/98
220212	0/49	0/49	5/49	0/49	2/98
220213	5/49	2/49	23/49	3/49	15/98
220214	5/49	3/49	27/49	4/49	18/98
220215	10/49	5/49	39/49	5/49	23/98
220216	16/49	7/49	49/49	28/49	34/98
220216	49/49	34/49	49/49	49/49	64/98
220217	49/49	49/49	49/49	49/49	96/98
220218	49/49	49/49	49/49	49/49	98/98
220221	49/49 WL1	49/49	49/49	49/49 WL1	98/98 WL3
220222	49/49 WL2	49/49	49/49 WL1	49/49 WL1	98/98 WL4
220223	49/49 WL3	49/49 WL4	49/49 WL5	49/49 WL4	98/98 WL5
220224	49/49 WL7	49/49 WL5	49/49 WL6	49/49 WL6	98/98 WL6
220225	49/49 WL23	49/49 WL24	49/49 WL29	49/49 WL28	97/98 WL39
220226	49/49 WL53	49/49 WL51	49/49 WL58	49/49 WL53	98/98 WL90
220227	49/49 WL53	49/49 WL53	49/49 WL58	49/49 WL54	98/98 WL92
220228	49/49 WL53	49/49 WL54	49/49 WL59	49/49 WL54	98/98 WL94
220301	64/49 WL39	51/49 WL52	61/49 WL48	58/49 WL46	98/196 WL95
220302	68/49 WL32	56/49 WL45	72/49 WL37	63/49 WL41	196/196 WL1
220303	68/49 WL29	56/49 WL45	73/49 WL34	63/49 WL40	195/196 WL8
220304	69/49 WL28	56/49 WL43	74/49 WL32	64/49 WL39	196/196 WL10
220305	69/49 WL28	56/49 WL43	74/49 WL33	64/49 WL39	196/196 WL10
220306	69/49 WL27	56/49 WL43	74/49 WL33	64/49 WL39	196/196 WL10
220307	69/49 WL28	56/49 WL43	74/49 WL33	64/49 WL39	196/196 WL10
220308	98/98 WL3	98/98 WL3	98/98 WL8	98/98 WL5	195/196 WL7
220309	98/98 WL3	98/98 WL2	98/98 WL7	98/98 WL5	196/196 WL6
220311	98/98 WL3	98/98 WL1	98/98 WL7	98/98 WL5	196/196 WL5
220312	98/98 WL2	98/98 WL1	97/98 WL7	98/98 WL5	196/196 WL4
220314	98/98 WL2	98/98 WL1	98/98 WL3	98/98 WL5	196/196 WL4
220316	98/98 WL3	98/98 WL3	97/98 WL4	98/98 WL5	195/196 WL2
220317	98/98 WL3	98/98 WL3	98/98 WL4	98/98 WL5	196/196 WL1
220321	98/98 WL4	97/98 WL3	98/98 WL4	98/98 WL6	196/196 WL1
220323	98/98 WL2	98/98 WL4	98/98 WL6	96/98 WL5	193/196 WL2
220324	97/98 WL1	98/98 WL4	98/98 WL7	98/98 WL2	196/196 WL1
220328	98/98 WL2	98/98 WL2	98/98 WL3	98/98 WL3	196/196 WL2
220328	98/98 WL3	95/98 WL3	98/98 WL3	98/98 WL4	196/196 WL7
220330	97/98 WL2	98/98 WL2	96/98 WL3	98/98 WL3	193/196 WL7
220331	98/98 WL1	98/98 WL1	98/98 WL2	98/98 WL2	196/196 WL5
220404	98/98	98/98 WL2	98/98 WL2	98/98 WL1	196/196 WL6
220405	98/98	96/98 WL2	98/98 WL1	98/98	196/196 WL6
220406	98/98 WL1	97/98	98/98	97/98	195/196 WL4
220407	98/98	98/98	98/98	98/98	195/196 WL4
