DATE	A00	B00	C00	D00	E00	F00	G00
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	3/30	30/30	1/30	2/30	1/30	6/30	13/30
220213	3/30	30/30	4/30	3/30	1/30	9/30	19/30
220214	4/30	30/30	7/30	4/30	1/30	13/30	23/30
220215	4/30	30/30	7/30	5/30	1/30	16/30	25/30
220216	5/30	30/30	7/30	5/30	4/30	18/30	26/30
220216	7/30	30/30	8/30	7/30	7/30	19/30	30/30
220217	7/30	30/30	8/30	7/30	7/30	20/30	30/30
220218	8/30	30/30	9/30	9/30	10/30	18/30	30/30
220219	8/30	30/30	9/30	9/30	13/30	19/30	30/30
220220	8/30	30/30	9/30	10/30	14/30	19/30	30/30
220221	10/30	29/30 WL9	9/30	11/30	16/30	20/30	28/30 WL3
220221	10/30	29/30 WL18	9/30	11/30	17/30	20/30	28/30 WL5
220222	10/30	30/30 WL17	9/30	11/30	17/30	18/30	30/30 WL4
220223	10/30	30/30 WL19	9/30	13/30	19/30	21/30	30/30 WL6
220224	10/30	30/30 WL19	9/30	12/30	19/30	20/30	30/30 WL8
220225	9/30	30/30 WL20	10/30	17/30	24/30	19/30	30/30 WL9
220226	10/30	30/30 WL27	10/30	15/30	23/30	20/30	30/30 WL9
220227	10/30	30/30 WL27	10/30	15/30	23/30	19/30	30/30 WL9
220228	10/30	30/30 WL27	10/30	16/30	24/30	19/30	30/30 WL9
220301	10/30	30/30 WL27	11/30	20/30	25/30	20/30	30/30 WL9
220302	10/30	30/30 WL27	11/30	20/30	27/30	22/30	30/30 WL9
220303	10/30	30/30 WL33	11/30	21/30	28/30	23/30	30/30 WL7
220304	11/30	30/30 WL39	11/30	22/30	27/30	23/30	30/30 WL8
220305	11/30	30/30 WL38	11/30	22/30	27/30	25/30	30/30 WL10
220306	11/30	30/30 WL38	11/30	23/30	27/30	24/30	30/30 WL10
220307	11/30	30/30 WL39	11/30	23/30	27/30	24/30	30/30 WL10
220308	11/30	30/30 WL37	11/30	24/30	27/30	25/30	30/30 WL11
220309	11/30	30/30 WL37	11/30	24/30	28/30	27/30	30/30 WL11
220311	10/30	30/30 WL37	11/30	24/30	27/30	26/30	30/30 WL13
220312	10/30	30/30 WL37	12/30	24/30	26/30	26/30	30/30 WL12
220314	10/30	30/30 WL37	12/30	24/30	25/30	26/30	30/30 WL12
220316	23/30	30/30 WL36	17/30	27/30	24/30	26/30	30/30 WL12
220317	30/30 WL1	30/30 WL36	18/30	29/30	24/30	26/30	30/30 WL13
220321	30/30 WL5	30/30 WL37	18/30	30/30 WL2	24/30	27/30	30/30 WL16
220323	30/30 WL7	30/30 WL37	20/30	30/30 WL3	25/30	29/30	29/30 WL16
220324	30/30 WL8	30/30 WL34	20/30	29/30 WL3	28/30	29/30 WL1	30/30 WL15
220328	30/30 WL8	29/30 WL39	19/30	29/30	30/30 WL3	30/30 WL1	29/30 WL14
220328	30/30 WL8	29/30 WL38	20/30	29/30	30/30 WL3	30/30 WL1	28/30 WL14
220330	29/30 WL9	30/30 WL43	22/30	28/30 WL2	26/35 WL6	27/30 WL7	28/30 WL16
220331	30/30 WL6	29/30 WL39	21/30	27/30	32/35	29/30 WL2	28/30 WL12
220404	30/32 WL6	30/30 WL31	18/30	22/30	31/35	22/30	28/30 WL5
220405	30/32 WL4	28/30 WL23	16/30	21/30	33/35	23/30	29/30 WL3
220406	31/32	30/30 WL18	16/30	18/30	26/35	21/30	30/30 WL3
220407	31/32	30/30 WL14	16/30	17/30	27/35	21/30	30/30 WL2
