DATE	A01	A02
220204	0/75	0/75
220206	N/A	0/150
220212	N/A	3/150
220213	N/A	12/150
220214	N/A	14/150
220215	N/A	35/150
220216	N/A	58/150
220216	N/A	79/150
220217	N/A	84/150
220218	N/A	86/150
220220	N/A	87/150
220221	N/A	88/150
220221	N/A	94/150
220222	N/A	96/150
220223	N/A	143/150
220224	N/A	149/150 WL21
220225	N/A	150/220 WL41
220226	N/A	197/220
220227	N/A	201/220
220228	N/A	202/220
220301	N/A	204/220
220302	N/A	205/220
220303	N/A	208/220
220304	N/A	209/220
220305	N/A	208/220
220307	N/A	211/220
220308	N/A	214/220
