DATE	A01	A02	A03
220204	0/24	0/24	0/24
220212	1/24	0/24	0/24
220213	9/24	9/24	4/24
220214	10/24	8/24	5/24
220215	10/24	15/24	8/24
220216	10/24	19/24	8/24
220216	10/24	20/24	8/24
220221	11/24	23/24	10/24
220222	15/24	24/24	10/24
220223	22/24	24/24	14/24
220225	23/24	24/24	14/24
220226	24/24	24/24	14/24
220228	24/24	23/24	13/24
220301	23/24	24/24	15/24
220303	23/24	24/24	14/24
220305	23/24	24/24	13/24
220308	22/24	24/24	13/24
220309	21/24	24/24	13/24
220316	21/24	24/24	12/24
220321	21/24	24/24	11/24
220328	20/24	23/24	12/24
220328	21/24	24/24	12/24
220330	22/24	24/24	13/24
220404	23/24	24/24	13/24
