DATE	A01	A02	A03
220204	0/20	0/20	0/20
220212	1/20	1/20	0/20
220213	2/20	1/20	0/20
220215	5/20	1/20	1/20
220216	8/20	1/20	2/20
220216	10/20	2/20	2/20
220218	11/20	2/20	2/20
220221	11/20	3/20	2/20
220223	20/20	3/20	3/20
220224	20/20	4/20	3/20
220225	20/20	13/20	3/20
220226	19/20	13/20	3/20
220302	20/20	14/20	3/20
220303	20/20	15/20	3/20
220305	20/20	16/20	4/20
220308	20/20	17/20	4/20
220311	20/20	16/20	4/20
220316	20/20	17/20	4/20
220323	20/20	19/20	4/20
220328	20/20	20/20	4/20
220328	20/20	20/20	6/20
220330	20/20	20/20	10/20
220331	20/20	20/20	11/20
