DATE	A00	B00
220204	0/50	0/50
220212	2/50	2/50
220213	3/50	5/50
220214	4/50	8/50
220215	11/50	19/50
220216	10/50	26/50
220216	10/50	27/50
220217	10/50	28/50
220218	10/50	25/50
220221	10/50	31/50
220222	12/50	37/50
220223	29/50	50/50 WL5
220224	36/50	50/50 WL9
220225	43/50	50/50 WL9
220226	45/50	49/50 WL9
220227	46/50	50/50 WL8
220228	48/50	50/50 WL9
220301	50/50	49/50 WL9
220302	50/50	50/50 WL8
220303	49/50 WL1	50/50 WL8
220304	50/50 WL1	50/50 WL8
220306	50/50 WL1	50/50 WL7
220308	50/50	50/50 WL6
220309	50/50	49/50 WL6
220310	50/50	50/50 WL6
220312	50/50 WL1	50/50 WL6
220314	50/50 WL2	50/50 WL6
