DATE	A00	B00	C00	D00	E00	F00	G00
220204	0/81	0/50	0/50	0/81	0/64	0/50	0/50
220212	3/81	4/50	3/50	6/81	2/64	6/50	3/50
220213	8/81	7/50	4/50	8/81	10/64	7/50	6/50
220214	9/81	8/50	5/50	10/81	10/64	9/50	6/50
220215	12/81	8/50	5/50	13/81	12/64	12/50	12/50
220216	13/81	10/50	6/50	14/81	16/64	15/50	12/50
220216	13/81	10/50	7/50	13/81	16/64	17/50	12/50
220217	13/81	10/50	7/50	14/81	16/64	17/50	13/50
220218	13/81	12/50	8/50	17/81	16/64	18/50	16/50
220219	14/81	13/50	9/50	18/81	16/64	18/50	19/50
220220	14/81	13/50	9/50	18/81	16/64	19/50	19/50
220221	14/81	13/50	9/50	19/81	16/64	21/50	19/50
220221	14/81	13/50	9/50	19/81	15/64	21/50	20/50
220222	14/81	13/50	9/50	19/81	17/64	21/50	20/50
220223	14/81	13/50	10/50	20/81	20/64	23/50	20/50
220224	14/81	14/50	10/50	20/81	20/64	23/50	20/50
220225	15/81	15/50	10/50	21/81	20/64	23/50	20/50
220226	15/81	15/50	10/50	21/81	20/64	24/50	22/50
220227	15/81	15/50	10/50	22/81	20/64	24/50	23/50
220228	15/81	15/50	10/50	21/81	20/64	25/50	25/50
220301	15/81	19/50	11/50	23/81	23/64	28/50	27/50
220302	15/81	19/50	12/50	24/81	23/64	28/50	28/50
220304	14/81	19/50	12/50	26/81	23/64	29/50	28/50
220305	14/81	19/50	12/50	26/81	23/64	30/50	28/50
220306	15/81	20/50	12/50	26/81	23/64	30/50	28/50
220308	15/81	22/50	12/50	26/81	23/64	30/50	30/50
220309	15/81	22/50	12/50	27/81	23/64	30/50	30/50
220310	15/81	22/50	12/50	27/81	24/64	30/50	32/50
220311	15/81	20/50	12/50	28/81	24/64	29/50	32/50
220316	18/81	20/50	13/50	29/81	25/64	30/50	32/50
220317	18/81	20/50	12/50	29/81	25/64	31/50	32/50
