DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040
220204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N/A
220214	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	N/A
220218	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	N/A
220221	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	N/A
220223	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0
220226	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1
220301	1	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	2	0	0	0	2
220303	1	0	0	1	0	0	0	1	0	1	2	0	1	0	1	0	0	2	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	2	0	0	0	2
220305	1	0	0	1	0	0	0	1	0	1	2	0	1	0	1	0	0	2	0	0	0	2	1	0	0	1	1	1	0	1	0	1	2	0	0	2	0	0	0	2
220306	1	0	0	1	1	0	0	1	0	1	2	0	1	0	1	0	0	2	0	0	0	2	1	0	0	1	1	1	0	1	0	1	2	0	0	2	0	0	0	2
220309	1	0	1	1	1	0	0	1	0	1	2	0	1	0	1	0	0	2	0	0	0	2	1	0	0	1	1	1	0	1	0	1	2	0	0	2	0	0	0	2
220310	1	0	1	2	1	0	0	1	0	1	2	0	1	0	1	0	0	2	0	0	0	2	1	0	0	1	1	1	0	1	0	1	2	0	0	2	0	0	0	2
220311	1	0	1	2	1	0	0	1	0	1	2	0	1	0	1	0	0	2	0	0	0	2	1	0	0	1	1	1	0	1	0	1	3	0	0	2	0	0	0	2
