DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
220204	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33
220212	0/33	0/33	0/33	1/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33	0/33
220213	0/33	0/33	3/33	2/33	1/33	1/33	2/33	0/33	1/33	0/33	1/33	0/33
220214	1/33	0/33	3/33	2/33	1/33	1/33	2/33	0/33	1/33	0/33	1/33	0/33
220215	1/33	0/33	4/33	2/33	4/33	1/33	4/33	2/33	1/33	0/33	1/33	1/33
220216	2/33	1/33	5/33	2/33	7/33	2/33	5/33	2/33	2/33	0/33	1/33	1/33
220216	2/33	1/33	6/33	2/33	7/33	5/33	7/33	2/33	2/33	1/33	2/33	1/33
220217	2/33	2/33	7/33	2/33	7/33	5/33	8/33	3/33	2/33	1/33	2/33	1/33
220218	3/33	3/33	9/33	4/33	12/33	10/33	12/33	7/33	2/33	3/33	4/33	3/33
220221	3/33	3/33	9/33	5/33	12/33	10/33	12/33	7/33	2/33	3/33	4/33	3/33
220221	5/33	7/33	9/33	7/33	16/33	12/33	13/33	8/33	2/33	3/33	6/33	4/33
220222	5/33	7/33	9/33	9/33	15/33	12/33	14/33	8/33	4/33	3/33	6/33	4/33
220223	10/33	9/33	9/33	14/33	20/33	14/33	15/33	12/33	6/33	3/33	7/33	5/33
220224	11/33	10/33	9/33	16/33	21/33	16/33	19/33	16/33	8/33	4/33	8/33	5/33
220225	10/33	14/33	20/33	23/33	31/33	24/33	26/33	24/33	9/33	10/33	14/33	8/33
220226	14/33	23/33	33/33	33/33 WL1	33/33	33/33	33/33	33/33	13/33	20/33	27/33	8/33
220227	14/33	26/33	32/33	33/33 WL1	33/33	33/33	33/33	33/33	14/33	20/33	27/33	10/33
220228	15/33	27/33	32/33	33/33 WL1	33/33	33/33	33/33 WL1	33/33 WL1	15/33	22/33	27/33	10/33
220301	16/33	28/33	33/33	33/33 WL1	33/33 WL1	33/33	32/33 WL1	33/33	16/33	24/33	28/33	11/33
220302	18/33	30/33	33/33	33/33 WL1	33/33 WL1	33/33	33/33 WL1	33/33 WL1	16/33	25/33	29/33	11/33
220303	18/33	31/33	33/33	33/33 WL1	33/33 WL1	32/33	33/33	33/33	17/33	26/33	29/33	11/33
220304	18/33	32/33	33/33	33/33 WL1	33/33 WL1	33/33	33/33	33/33	17/33	27/33	29/33	11/33
220305	18/33	32/33	33/33	33/33 WL1	33/33 WL1	33/33	33/33	33/33	17/33	28/33	32/33	11/33
220306	19/33	33/33	33/33	33/33 WL1	33/33 WL1	33/33	33/33	32/33	17/33	28/33	32/33	12/33
220307	18/33	33/33	33/33	33/33 WL1	33/33 WL1	33/33	33/33	32/33	17/33	29/33	32/33	12/33
220308	18/33	33/33	33/33	32/33 WL1	33/33 WL1	33/33	33/33	33/33	16/33	28/33	32/33	13/33
220309	20/33	33/33	33/33	33/33	33/33	33/33	32/33	33/33	16/33	28/33	32/33	12/33
220310	20/33	33/33	33/33	33/33	33/33	33/33	31/33	33/33	16/33	29/33	32/33	13/33
220311	20/33	33/33	33/33	33/33	32/33	33/33	33/33	33/33	17/33	29/33	32/33	13/33
220312	20/33	33/33	33/33	33/33	33/33	33/33	33/33	33/33	17/33	30/33	32/33	13/33
220314	23/33	33/33	33/33	32/33	33/33	33/33	33/33	33/33	17/33	30/33	32/33	13/33
220316	22/33	32/33	33/33	33/33	33/33	33/33	33/33 WL1	33/33	17/33	31/33	33/33	16/33
220317	22/33	32/33	33/33	33/33	33/33	33/33	32/33 WL1	33/33	18/33	32/33	33/33	16/33
220321	23/33	33/33	33/33	33/33	33/33	33/33 WL1	33/33 WL1	33/33	21/33	33/33	33/33	18/33
220323	23/33	33/33	33/33	33/33	33/33	33/33 WL1	33/33 WL1	33/33	23/33	33/33	33/33	19/33
220324	24/33	33/33	33/33	33/33	33/33	33/33 WL1	33/33 WL1	33/33 WL1	24/33	33/33	33/33	21/33
