DATE	A00	B00	C00
220204	0/50	0/60	0/50
220213	0/50	2/60	0/50
220215	1/50	7/60	1/50
220216	1/50	15/60	2/50
220216	1/50	18/60	3/50
220218	2/50	18/60	3/50
220219	2/50	19/60	3/50
220221	4/50	24/60	3/50
220222	7/50	25/60	3/50
220223	16/50	31/60	4/50
220224	20/50	40/60	7/50
220225	27/50	50/60	7/50
220226	27/50	51/60	7/50
220227	27/50	52/60	7/50
220228	28/50	52/60	8/50
220301	28/50	54/60	9/50
220302	28/50	57/60	9/50
220303	28/50	56/60	11/50
220304	28/50	57/60	11/50
220305	28/50	57/60	12/50
220306	28/50	58/60	12/50
220307	28/50	57/60	12/50
220311	30/50	56/60	12/50
220312	30/50	57/60	12/50
220316	32/50	57/60	12/50
220321	33/50	57/60	13/50
220323	33/50	59/60	13/50
220324	35/50	59/60	13/50
220328	36/50	58/60	14/50
220328	50/50	60/60 WL5	14/50
220330	48/50 WL2	58/60 WL7	23/50
220331	50/50 WL2	60/60 WL4	23/50
220404	48/50	60/60 WL5	23/50
220405	50/50	62/60 WL2	23/50
220406	50/50 WL1	62/60 WL1	26/50
