DATE	A00	B00	C00	D00	E00	F00	H00	I00	J00	K00	L00
220204	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
220212	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	1/0	0/0	0/0
220213	0/0	0/0	0/0	1/0	1/0	3/0	0/0	0/0	2/0	0/0	0/0
220214	0/0	1/0	0/0	3/0	1/0	3/0	0/0	0/0	2/0	0/0	0/0
220215	3/0	2/0	4/0	6/0	7/0	3/0	5/0	6/0	3/0	2/0	4/0
220216	6/0	3/0	4/0	7/0	8/0	4/0	7/0	6/0	6/0	2/0	5/0
220216	6/0	3/0	4/0	7/0	8/0	4/0	8/0	6/0	6/0	2/0	5/0
220221	7/0	3/0	4/0	7/0	9/0	4/0	8/0	6/0	6/0	2/0	5/0
220221	7/0	4/0	6/0	8/0	10/0	4/0	9/0	7/0	6/0	2/0	6/0
220222	7/0	6/0	6/0	10/0	11/0	4/0	9/0	7/0	6/0	2/0	6/0
220223	16/0	13/0	13/0	17/0	15/0	10/0	14/0	15/0	12/0	14/0	16/0
220224	18/0	14/0	16/0	17/0	16/0	14/0	17/0	16/0	14/0	17/0	18/0
220225	20/0	17/0	17/0	20/0	19/0	16/0	18/0	16/0	15/0	18/0	19/0
220226	20/0	17/0	17/0	20/0	19/0	16/0	18/0	17/0	15/0	18/0	19/0
220227	20/0	17/0	17/0	20/0	19/0	16/0	18/0	18/0	16/0	18/0	19/0
220228	20/0	17/0	17/0	20/0	19/0	16/0	18/0	18/0	17/0	18/0	20/0
220301	20/0	17/0	17/0	20/0	19/0	16/0	19/0	18/0	17/0	18/0	20/0
220302	20/0	17/0	18/0	20/0	19/0	16/0	19/0	18/0	17/0	18/0	20/0
