DATE	A00	B00	C00	D00
220204	0/14	0/14	0/14	0/14
220212	1/14	0/14	0/14	0/14
220213	2/14	2/14	5/14	0/14
220214	2/14	4/14	5/14	1/14
220215	6/14	12/14	14/14	2/14
220216	14/14	14/14	14/14	3/14
220216	14/14	14/14	14/14	10/14
220218	14/14	14/14	14/14	12/14
220221	14/14 WL1	14/14	14/14	13/14
220223	14/14 WL1	14/14 WL2	14/14	14/14
220224	14/14 WL1	14/14 WL3	14/14 WL1	14/14
220225	14/14	14/14 WL3	14/14 WL2	12/14
220226	14/14 WL1	14/14 WL3	14/14 WL3	12/14
220301	14/14	14/14 WL3	14/14 WL3	12/14
220302	14/14	14/14 WL3	14/14 WL4	12/14
220304	14/14	14/14 WL4	14/14 WL5	12/14
220310	14/14	14/14 WL4	14/14 WL4	12/14
220312	14/14	14/14 WL4	14/14 WL3	12/14
220321	14/14 WL1	14/14 WL4	14/14 WL3	12/14
220328	14/14 WL1	14/14 WL4	14/14 WL2	12/14
220330	13/14	14/14 WL4	14/14 WL2	13/14
220331	14/14	14/14 WL4	14/14 WL2	13/14
220404	14/14 WL1	14/14 WL4	14/14 WL1	14/14
