DATE	A01	A02	A03	A04	B01	B02
220204	0/35	0/35	N/A	N/A	0/35	0/35
220212	2/35	0/35	N/A	N/A	0/35	0/35
220213	12/35	0/35	N/A	N/A	1/35	0/35
220214	14/35	0/35	N/A	N/A	2/35	0/35
220215	35/35	35/35	N/A	N/A	10/35	0/35
220216	35/35	35/35	N/A	N/A	22/35	2/35
220216	35/35	35/35	N/A	N/A	29/35	3/35
220217	35/35	35/35	N/A	N/A	31/35	3/35
220218	35/35	35/35	N/A	N/A	33/35	3/35
220221	35/35 WL2	35/35	N/A	N/A	34/35	3/35
220222	35/35 WL2	35/35 WL1	N/A	N/A	35/35	3/35
220223	35/35 WL12	35/35 WL11	N/A	N/A	35/35	14/35
220224	35/35 WL15	35/35 WL14	N/A	N/A	34/35 WL1	20/35
220225	35/35 WL19	35/35 WL17	N/A	N/A	35/35 WL1	35/35
220226	35/35 WL19	35/35 WL18	N/A	N/A	35/35 WL2	35/35
220228	35/35 WL18	35/35 WL18	N/A	N/A	35/35 WL2	35/35
220301	35/35 WL16	35/35 WL18	N/A	N/A	35/35 WL1	35/35
220302	35/35 WL18	35/35 WL18	N/A	N/A	35/35 WL1	35/35 WL1
220303	35/35 WL17	35/35 WL18	N/A	N/A	35/35 WL1	35/35
220305	35/35 WL19	35/35 WL18	N/A	N/A	35/35 WL1	35/35
220306	35/35 WL19	35/35 WL18	N/A	N/A	35/35 WL1	34/35
220308	35/35 WL16	35/35 WL12	1/0 WL1	5/0	35/35 WL1	33/35
220309	35/35 WL9	35/35 WL3	10/0	14/0	35/35	33/35
220310	35/35 WL8	35/35 WL3	10/0 WL4	14/0 WL4	34/35	31/35
220311	35/35 WL7	35/35 WL4	22/35	21/35	33/35	26/35
220312	35/35 WL4	35/35 WL3	34/35	26/35	28/35	20/35
220314	35/35 WL3	35/35 WL2	35/35	33/35	26/35	18/35
220316	34/35 WL3	35/35 WL2	35/35	35/35	27/35	18/35
220317	35/35 WL2	35/35 WL2	35/35	35/35	27/35	18/35
220321	34/35 WL2	35/35 WL1	35/35 WL2	35/35 WL1	26/35	18/35
220323	35/35 WL1	35/35 WL1	35/35 WL2	35/35 WL1	26/35	19/35
220324	35/35 WL2	35/35 WL1	35/35 WL2	35/35 WL1	26/35	19/35
220328	35/35 WL2	35/35 WL1	35/35 WL2	35/35 WL1	25/35	18/35
220328	35/35 WL2	35/35 WL3	35/35 WL2	35/35 WL3	26/35	18/35
220330	34/35 WL4	35/35 WL3	35/34 WL4	35/35 WL3	31/35	17/35
220331	35/35 WL4	35/35 WL3	35/34 WL3	35/35 WL3	32/35	17/35
220404	36/37 WL3	36/36 WL2	36/36 WL1	35/36 WL1	32/35	17/35
220405	37/37 WL1	36/36 WL1	36/36 WL1	36/36 WL1	32/35	17/35
220406	37/37 WL1	36/36 WL1	36/36 WL1	36/36 WL1	33/35	17/35
220407	37/37	35/36 WL1	36/36	36/36 WL1	33/35	17/35
220408	37/37	35/36 WL1	36/36	37/37	34/35	17/35
220410	37/37	35/36 WL1	36/36	37/37	34/35	18/35
220412	37/37	35/36 WL1	35/36	37/37	34/35	17/35
