DATE	A00
220204	0/80
220213	3/80
220215	13/80
220216	16/80
220216	24/80
220221	26/80
220221	32/80
220223	47/80
220224	55/80
220225	71/80
220226	73/80
220228	72/80
220301	74/80
220302	80/80 WL1
220303	79/80 WL2
220304	80/80 WL1
220307	79/80 WL1
220308	80/80 WL1
220309	80/80 WL3
220311	80/80 WL4
220312	80/80 WL3
220314	80/80 WL4
220316	80/80 WL3
220321	80/80 WL5
220328	78/80 WL6
220328	77/80 WL10
220330	78/80 WL11
220331	80/80 WL8
220404	78/80 WL4
220405	80/80
220407	79/80
220408	78/80
220410	80/80
220412	79/80
220417	77/80
