DATE	A00
220204	0/146
220212	2/146
220215	5/146
220216	13/146
220216	16/146
220218	18/146
220219	19/146
220221	24/146
220223	40/146
220224	60/146
220225	76/146
220226	81/146
220228	80/146
220301	82/146
220303	80/146
220306	78/146
220308	76/146
220310	77/146
220312	78/146
220314	79/146
220316	76/146
220321	77/146
220323	79/146
220328	85/146
220328	93/146
220330	112/146
220331	116/146
220404	125/146
220405	120/146
220406	117/146
220407	121/146
220408	124/146
220410	128/146
220412	126/146
220823	113/146
