DATE	A00	B00
220204	0/50	0/50
220212	0/50	3/50
220213	0/50	4/50
220214	0/50	5/50
220215	13/50	11/50
220216	20/50	12/50
220216	22/50	12/50
220217	24/50	13/50
220218	26/50	13/50
220219	27/50	14/50
220220	28/50	14/50
220221	31/50	15/50
220222	30/50	15/50
220223	29/50	16/50
220224	28/50	16/50
220225	29/50	17/50
220226	28/50	17/50
220227	27/50	17/50
220302	26/50	17/50
220303	23/50	17/50
220305	23/50	18/50
220306	24/50	18/50
220308	24/50	17/50
220309	25/50	17/50
220310	24/50	17/50
220311	23/50	17/50
220312	20/50	18/50
220314	19/50	17/50
220316	23/50	17/50
