DATE	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12
220204	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220212	1/30	1/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30	0/30
220213	5/30	2/30	1/30	0/30	1/30	1/30	2/30	1/30	0/30	0/30	0/30	3/30
220214	5/30	2/30	1/30	0/30	1/30	1/30	2/30	2/30	0/30	0/30	0/30	2/30
220215	7/30	2/30	3/30	1/30	2/30	1/30	2/30	1/30	0/30	1/30	0/30	2/30
220216	12/30	11/30	8/30	2/30	5/30	2/30	2/30	4/30	1/30	2/30	0/30	2/30
220216	19/30	24/30	13/30	7/30	8/30	5/30	4/30	10/30	2/30	5/30	0/30	3/30
220217	23/30	27/30	15/30	8/30	10/30	6/30	4/30	11/30	3/30	7/30	2/30	3/30
220218	30/30	30/30	21/30	8/30	14/30	7/30	4/30	13/30	4/30	8/30	5/30	4/30
220219	30/30	30/30	22/30	8/30	14/30	7/30	4/30	13/30	4/30	8/30	5/30	4/30
220221	30/30	30/30	23/30	10/30	16/30	8/30	5/30	15/30	7/30	9/30	6/30	4/30
220222	30/30	30/30	24/30	12/30	16/30	8/30	5/30	15/30	7/30	9/30	6/30	4/30
