DATE	A01	A02	A03	A04
220204	0/34	0/34	0/34	0/34
220212	0/34	1/34	1/34	0/34
220213	2/34	6/34	2/34	0/34
220214	4/34	6/34	2/34	0/34
220215	6/34	7/34	4/34	0/34
220216	10/34	7/34	6/34	1/34
220216	16/34	10/34	8/34	2/34
220217	20/34	13/34	9/34	4/34
220218	34/34	33/34	27/34	18/34
220219	34/34	33/34	28/34	18/34
220221	34/34 WL1	34/34	32/34	19/34
220222	34/34 WL2	34/34	32/34	19/34
220223	34/34 WL2	34/34 WL1	34/34 WL1	19/34
220224	34/34 WL3	34/34 WL2	34/34 WL2	21/34
220225	34/34 WL4	34/34 WL3	34/34 WL2	34/34
220226	34/34 WL4	34/34 WL4	34/34 WL4	34/34 WL5
220227	34/34 WL5	34/34 WL5	34/34 WL5	34/34 WL5
220228	34/34 WL5	34/34 WL5	34/34 WL6	34/34 WL5
220301	34/34 WL6	34/34 WL6	34/34 WL6	34/34 WL5
220302	34/34 WL6	34/34 WL7	34/34 WL6	34/34 WL5
220303	34/34 WL6	34/34 WL7	34/34 WL6	34/34 WL4
