DATE	A00
220204	0/120
220212	6/120
220213	27/120
220214	35/120
220215	111/120
220216	120/120
220221	120/120 WL3
220221	120/120 WL17
220222	120/120 WL22
220223	120/120 WL49
220224	120/120 WL65
220225	120/120 WL79
220226	120/120 WL80
220227	120/120 WL79
220228	120/120 WL80
220301	120/120 WL79
220302	120/120 WL77
220303	120/120 WL79
220304	120/120 WL80
220305	120/120 WL79
220307	120/120 WL80
220308	120/120 WL79
220309	120/120 WL78
220312	120/120 WL77
220314	119/120 WL77
220316	120/120 WL73
220317	120/120 WL74
220321	120/120 WL73
220323	120/120 WL70
220328	120/120 WL69
220330	145/146 WL47
220331	146/146 WL47
220404	146/146 WL38
220405	145/146 WL38
220406	146/146 WL34
220408	146/146 WL21
