DATE	A00
220204	0/65
220212	4/65
220213	7/65
220214	9/65
220215	22/65
220216	45/65
220216	55/65
220217	56/65
220218	57/65
220221	65/65 WL2
220222	65/65 WL3
220223	65/65 WL6
220224	65/65 WL9
220225	65/65 WL12
220226	65/65 WL14
220301	75/75 WL5
220302	75/75 WL7
220305	75/75 WL8
220308	74/75 WL9
220309	82/90 WL3
220310	84/90 WL2
220311	87/90 WL2
220316	88/90 WL2
220317	88/90 WL4
220321	90/90 WL3
220324	90/90 WL2
220328	90/90 WL4
220328	89/90 WL6
220330	90/90 WL7
220331	90/90 WL6
220405	90/90 WL8
220406	90/90 WL6
220407	95/95 WL1
220412	94/95 WL1
