DATE	A01	A02
220204	0/25	0/25
220212	1/25	3/25
220213	8/25	5/25
220214	9/25	6/25
220215	22/25	6/25
220216	25/25	11/25
220216	25/25	25/25
220221	25/25 WL1	25/25
220221	25/25 WL2	25/25 WL1
220222	25/25 WL2	25/25 WL2
220223	25/25 WL6	25/25 WL5
220224	25/25 WL7	25/25 WL5
220225	25/25 WL9	25/25 WL9
220226	25/25 WL12	25/25 WL11
220227	25/25 WL13	25/25 WL11
220301	25/25 WL14	25/25 WL12
220303	25/30 WL14	25/30 WL13
220304	30/30 WL9	30/30 WL8
220305	30/30 WL10	30/30 WL8
220312	30/30 WL10	30/30 WL9
220324	30/30 WL10	30/30 WL8
220328	30/30 WL10	30/30 WL9
220330	30/32 WL10	30/32 WL7
